Order ID,Date,Product,Category,Region,Sales Revenue,Profit
ORD000001,2023-08-16,Printer,Electronics,South,2821.95,245.78
ORD000002,2024-11-08,Notebook,Office Supplies,South,4485.78,1335.11
ORD000003,2024-07-24,Chair,Furniture,East,4097.32,447.29
ORD000004,2023-04-01,Desk,Furniture,West,712.2,94.44
ORD000005,2024-11-08,Laptop,Electronics,North,664.53,33.56
ORD000006,2024-08-22,Chair,Furniture,North,3167.8,302.38
ORD000007,2024-04-16,Tablet,Electronics,North,2319.08,261.79
ORD000008,2025-09-04,Mixer,Appliances,South,2917.9,632.51
ORD000009,2023-05-17,Smartphone,Electronics,North,2725.57,429.25
ORD000010,2023-07-21,Smartphone,Electronics,Central,113.76,28.98
ORD000011,2025-05-23,Printer,Electronics,North,942.77,158.76
ORD000012,2025-07-19,Smartphone,Electronics,West,3422.75,789.78
ORD000013,2024-04-27,Cabinet,Furniture,South,2229.38,392.66
ORD000014,2024-10-16,Microwave,Appliances,Central,4155.09,352.25
ORD000015,2024-08-02,Laptop,Electronics,West,4154.55,822.02
ORD000016,2025-12-30,Chair,Furniture,East,1100.66,285.17
ORD000017,2025-06-21,Folder,Office Supplies,West,2618.05,527.26
ORD000018,2025-06-22,Monitor,Electronics,Central,3979.76,1096.07
ORD000019,2024-08-06,Pen,Office Supplies,North,4803.72,1373.67
ORD000020,2025-07-01,Bookshelf,Furniture,West,1910.65,222.47
ORD000021,2024-08-07,Monitor,Electronics,West,441.21,124.1
ORD000022,2024-01-03,Sofa,Furniture,South,3392.08,985.63
ORD000023,2024-07-09,Cabinet,Furniture,West,1615.52,433.55
ORD000024,2023-03-04,Refrigerator,Appliances,East,2623.95,177.99
ORD000025,2023-04-06,Vacuum,Appliances,South,2516.25,280.46
ORD000026,2024-06-17,Tablet,Electronics,North,2190.1,237.59
ORD000027,2023-05-29,Mixer,Appliances,North,2238.72,126.08
ORD000028,2024-04-01,Pen,Office Supplies,North,1474.82,123.99
ORD000029,2023-09-18,Desk,Furniture,Central,3164.34,997.31
ORD000030,2024-09-12,Bookshelf,Furniture,Central,2427.55,279.99
ORD000031,2023-08-25,Smartphone,Electronics,West,572.85,132.82
ORD000032,2025-07-31,Bookshelf,Furniture,Central,2355.04,445.91
ORD000033,2025-04-24,Monitor,Electronics,Central,2487.04,376.73
ORD000034,2025-04-01,Folder,Office Supplies,South,4784.79,1456.29
ORD000035,2025-11-22,Tablet,Electronics,Central,3026.49,563.59
ORD000036,2023-12-27,Tablet,Electronics,West,391.41,74.15
ORD000037,2025-05-30,Printer,Electronics,Central,3007.55,850.3
ORD000038,2025-01-04,Bookshelf,Furniture,North,1954.2,646.03
ORD000039,2023-05-26,Refrigerator,Appliances,South,1195.15,273.38
ORD000040,2024-03-14,Microwave,Appliances,North,299.38,32.25
ORD000041,2024-08-17,Vacuum,Appliances,West,2181.15,273.41
ORD000042,2023-07-29,Cabinet,Furniture,North,2003.95,387.63
ORD000043,2023-06-16,Vacuum,Appliances,East,129.93,13.66
ORD000044,2024-11-14,Bookshelf,Furniture,South,2076.98,581.33
ORD000045,2025-07-21,Air Purifier,Appliances,North,2285.99,747.51
ORD000046,2025-07-01,Printer,Electronics,West,410.91,25.89
ORD000047,2023-11-05,Laptop,Electronics,North,3448.53,552.56
ORD000048,2024-01-14,Pen,Office Supplies,Central,2156.01,258.91
ORD000049,2024-05-05,Vacuum,Appliances,West,2580.91,565.33
ORD000050,2023-08-22,Chair,Furniture,West,3554.1,402.26
ORD000051,2024-05-14,Desk,Furniture,West,3019.92,934.78
ORD000052,2024-01-10,Tablet,Electronics,East,970.62,304.5
ORD000053,2024-09-20,Refrigerator,Appliances,North,2522.43,266.64
ORD000054,2025-02-01,Monitor,Electronics,North,4515.7,1072.89
ORD000055,2025-11-28,Refrigerator,Appliances,Central,1784.84,91.69
ORD000056,2024-04-16,Microwave,Appliances,Central,975.24,333.54
ORD000057,2025-03-06,Folder,Office Supplies,Central,1588.31,294.82
ORD000058,2023-10-22,Microwave,Appliances,Central,3465.66,558.67
ORD000059,2023-03-04,Printer,Electronics,Central,4404.32,953.32
ORD000060,2025-09-20,Paper,Office Supplies,North,1051.04,258.22
ORD000061,2023-06-27,Folder,Office Supplies,Central,987.08,94.14
ORD000062,2023-08-15,Chair,Furniture,Central,4245.91,1465.1
ORD000063,2024-07-28,Stapler,Office Supplies,South,3744.01,801.5
ORD000064,2024-07-08,Tablet,Electronics,North,1787.83,191.45
ORD000065,2025-10-02,Laptop,Electronics,East,3656.54,188.26
ORD000066,2025-04-05,Microwave,Appliances,South,3482.79,1079.1
ORD000067,2024-06-03,Refrigerator,Appliances,East,2021.78,137.62
ORD000068,2023-11-20,Paper,Office Supplies,North,1783.09,330.89
ORD000069,2023-03-15,Mixer,Appliances,West,283.4,87.26
ORD000070,2024-04-10,Pen,Office Supplies,Central,804.76,54.92
ORD000071,2025-06-13,Laptop,Electronics,South,3750.82,1306.95
ORD000072,2025-10-24,Refrigerator,Appliances,Central,1484.51,408.62
ORD000073,2023-11-25,Monitor,Electronics,Central,3480.52,1048.91
ORD000074,2023-02-01,Laptop,Electronics,North,538.3,33.5
ORD000075,2023-09-19,Cabinet,Furniture,Central,726.26,58.35
ORD000076,2025-06-02,Desk,Furniture,Central,369.86,61.21
ORD000077,2024-06-28,Notebook,Office Supplies,North,3032.65,306
ORD000078,2025-01-28,Mixer,Appliances,North,1588.4,144.66
ORD000079,2023-11-28,Sofa,Furniture,South,1302.18,195.93
ORD000080,2023-10-09,Sofa,Furniture,East,3442.89,608.71
ORD000081,2023-03-05,Bookshelf,Furniture,North,2925.95,939.5
ORD000082,2024-08-28,Tablet,Electronics,West,2138.46,726.88
ORD000083,2024-10-01,Monitor,Electronics,Central,3392.16,808.76
ORD000084,2025-03-26,Cabinet,Furniture,West,2316.55,691.09
ORD000085,2023-04-14,Desk,Furniture,West,1406.81,319.92
ORD000086,2025-05-22,Cabinet,Furniture,Central,2081.56,690.49
ORD000087,2023-10-15,Laptop,Electronics,West,4371.8,1500.78
ORD000088,2025-01-24,Sofa,Furniture,Central,4776.98,931.3
ORD000089,2025-08-11,Notebook,Office Supplies,West,4201.93,259.91
ORD000090,2024-01-16,Folder,Office Supplies,West,2495.28,295.88
ORD000091,2023-07-03,Laptop,Electronics,West,4352.41,806.94
ORD000092,2023-03-31,Desk,Furniture,Central,2968.82,314.29
ORD000093,2024-01-06,Notebook,Office Supplies,South,1575.82,187.03
ORD000094,2023-04-14,Laptop,Electronics,West,981.19,295.07
ORD000095,2025-05-26,Printer,Electronics,Central,3033.36,472.76
ORD000096,2025-10-20,Microwave,Appliances,North,1630.33,316.76
ORD000097,2024-11-21,Laptop,Electronics,Central,4656.13,1387.39
ORD000098,2023-04-21,Notebook,Office Supplies,East,2496.83,644.32
ORD000099,2025-09-28,Stapler,Office Supplies,South,4217.44,1178.91
ORD000100,2023-08-15,Printer,Electronics,East,1197.3,82.8
ORD000101,2023-06-09,Paper,Office Supplies,North,1986,662.28
ORD000102,2024-01-10,Bookshelf,Furniture,North,4361.59,645.64
ORD000103,2024-11-09,Vacuum,Appliances,South,637.31,178.81
ORD000104,2023-07-17,Paper,Office Supplies,East,1144.1,353.59
ORD000105,2024-11-20,Cabinet,Furniture,Central,2782.73,321.34
ORD000106,2023-05-28,Folder,Office Supplies,South,3504.15,570.17
ORD000107,2024-06-18,Printer,Electronics,North,1340.95,468.61
ORD000108,2025-07-11,Sofa,Furniture,Central,3548.12,1164.13
ORD000109,2025-08-09,Tablet,Electronics,South,4822.15,742.82
ORD000110,2023-11-10,Cabinet,Furniture,South,801.14,264.38
ORD000111,2025-02-22,Smartphone,Electronics,West,4316.62,1321.98
ORD000112,2023-12-15,Laptop,Electronics,East,1402.93,490.98
ORD000113,2024-03-13,Monitor,Electronics,West,907.4,286.03
ORD000114,2023-02-28,Sofa,Furniture,West,4287.35,1288.97
ORD000115,2024-11-01,Stapler,Office Supplies,East,4086.03,279.3
ORD000116,2023-05-28,Paper,Office Supplies,Central,2053,185.54
ORD000117,2025-10-25,Tablet,Electronics,Central,3495.7,416
ORD000118,2025-01-14,Mixer,Appliances,South,4876.62,1319.97
ORD000119,2023-06-26,Tablet,Electronics,South,252.62,17.61
